Simulator Started for experiment: stage1_baseline on cpu
Episode 1/200 | Reward: -166.54 | Loss: 0.0025 | Eps: 0.995
Episode 2/200 | Reward: -154.21 | Loss: 0.0010 | Eps: 0.990
Episode 3/200 | Reward: -172.42 | Loss: 0.0009 | Eps: 0.985
Episode 4/200 | Reward: -130.54 | Loss: 0.0009 | Eps: 0.980
Episode 5/200 | Reward: -140.24 | Loss: 0.0008 | Eps: 0.975
Episode 6/200 | Reward: -196.63 | Loss: 0.0008 | Eps: 0.970
Episode 7/200 | Reward: -159.55 | Loss: 0.0009 | Eps: 0.966
Episode 8/200 | Reward: -249.29 | Loss: 0.0009 | Eps: 0.961
Episode 9/200 | Reward: -149.73 | Loss: 0.0009 | Eps: 0.956
Episode 10/200 | Reward: -86.54 | Loss: 0.0008 | Eps: 0.951
Episode 11/200 | Reward: -198.15 | Loss: 0.0044 | Eps: 0.946
Episode 12/200 | Reward: -179.14 | Loss: 0.0036 | Eps: 0.942
Episode 13/200 | Reward: -266.60 | Loss: 0.0034 | Eps: 0.937
Episode 14/200 | Reward: -158.91 | Loss: 0.0034 | Eps: 0.932
Episode 15/200 | Reward: -202.24 | Loss: 0.0036 | Eps: 0.928
Episode 16/200 | Reward: -176.26 | Loss: 0.0036 | Eps: 0.923
Episode 17/200 | Reward: -260.83 | Loss: 0.0036 | Eps: 0.918
Episode 18/200 | Reward: -175.68 | Loss: 0.0037 | Eps: 0.914
Episode 19/200 | Reward: -221.81 | Loss: 0.0036 | Eps: 0.909
Episode 20/200 | Reward: -143.60 | Loss: 0.0038 | Eps: 0.905
Episode 21/200 | Reward: -233.91 | Loss: 0.0110 | Eps: 0.900
Episode 22/200 | Reward: -266.29 | Loss: 0.0095 | Eps: 0.896
Episode 23/200 | Reward: -241.02 | Loss: 0.0094 | Eps: 0.891
Episode 24/200 | Reward: -154.84 | Loss: 0.0091 | Eps: 0.887
Episode 25/200 | Reward: -148.75 | Loss: 0.0086 | Eps: 0.882
Episode 26/200 | Reward: -179.08 | Loss: 0.0085 | Eps: 0.878
Episode 27/200 | Reward: -94.10 | Loss: 0.0080 | Eps: 0.873
Episode 28/200 | Reward: -146.85 | Loss: 0.0075 | Eps: 0.869
Episode 29/200 | Reward: -136.38 | Loss: 0.0070 | Eps: 0.865
Episode 30/200 | Reward: -81.49 | Loss: 0.0067 | Eps: 0.860
Episode 31/200 | Reward: -235.24 | Loss: 0.0165 | Eps: 0.856
Episode 32/200 | Reward: -222.87 | Loss: 0.0144 | Eps: 0.852
Episode 33/200 | Reward: -175.13 | Loss: 0.0139 | Eps: 0.848
Episode 34/200 | Reward: -158.18 | Loss: 0.0135 | Eps: 0.843
Episode 35/200 | Reward: -121.64 | Loss: 0.0128 | Eps: 0.839
Episode 36/200 | Reward: -177.35 | Loss: 0.0125 | Eps: 0.835
